travelers,Cost,international,destination,flights,Origin,Date,destination_code,Origin_code
74537,3923,['0'],NYC,288,BOS,2016-09,137,33
72265,3982,['0'],CHI,356,BOS,2016-09,46,33
59506,3318,['0'],WAS,136,BOS,2016-09,224,33
56885,3075,['0'],SFO,357,BOS,2016-09,193,33
46519,2422,['0'],LAX,539,BOS,2016-09,100,33
36344,2216,['0'],ATL,352,BOS,2016-09,10,33
33960,1966,['0'],DFW,321,BOS,2016-09,59,33
32206,1684,['0'],BWI,272,BOS,2016-09,40,33
31255,2083,['0'],PHL,94,BOS,2016-09,156,33
30618,1702,['1'],LON,189,BOS,2016-09,106,33
30150,1933,['0'],ORL,319,BOS,2016-09,145,33
29094,1936,['0'],FLL,208,BOS,2016-09,71,33
28916,1784,['0'],DEN,202,BOS,2016-09,58,33
24259,1367,['0'],SEA,491,BOS,2016-09,191,33
23090,1500,['0'],MSP,405,BOS,2016-09,128,33
21994,1445,['1'],YTO,91,BOS,2016-09,228,33
20827,1229,['0'],DTT,153,BOS,2016-09,63,33
20729,1194,['0'],CLT,92,BOS,2016-09,50,33
20441,1262,['0'],LAS,789,BOS,2016-09,99,33
20429,1288,['0'],HOU,242,BOS,2016-09,90,33
20164,1051,['0'],TPA,324,BOS,2016-09,216,33
18907,1053,['0'],RDU,217,BOS,2016-09,174,33
17586,985,['0'],MIA,60,BOS,2016-09,118,33
16759,981,['0'],SAN,793,BOS,2016-09,183,33
16364,911,['0'],PHX,697,BOS,2016-09,157,33
16299,965,['0'],FMY,313,BOS,2016-09,73,33
15693,1003,['0'],BNA,178,BOS,2016-09,29,33
15085,963,['0'],PIT,139,BOS,2016-09,158,33
13282,812,['0'],RIC,138,BOS,2016-09,176,33
13280,754,['0'],PBI,170,BOS,2016-09,151,33
12881,678,['0'],AUS,575,BOS,2016-09,12,33
11742,760,['0'],BUF,166,BOS,2016-09,37,33
11554,674,['0'],PDX,651,BOS,2016-09,152,33
11250,570,['1'],DUB,110,BOS,2016-09,64,33
11074,715,['0'],CLE,210,BOS,2016-09,48,33
10165,597,['0'],STL,322,BOS,2016-09,206,33
10112,544,['1'],SJU,209,BOS,2016-09,199,33
10050,584,['0'],CMH,320,BOS,2016-09,51,33
9899,555,['0'],IND,271,BOS,2016-09,94,33
9470,618,['0'],MKE,251,BOS,2016-09,121,33
9269,615,['0'],MSY,417,BOS,2016-09,129,33
9103,482,['1'],PAR,700,BOS,2016-09,150,33
8992,540,['1'],REK,66,BOS,2016-09,175,33
8315,526,['0'],SLC,383,BOS,2016-09,200,33
8182,463,['0'],MKC,411,BOS,2016-09,120,33
7816,475,['0'],CHS,260,BOS,2016-09,47,33
7570,445,['0'],JAX,340,BOS,2016-09,96,33
7113,474,['1'],DXB,108,BOS,2016-09,66,33
6048,309,['0'],CVG,359,BOS,2016-09,55,33
5826,303,['1'],BJS,228,BOS,2016-09,25,33
187791,10306,['0'],NYC,533,CHI,2016-09,137,46
94745,6244,['0'],LAX,504,CHI,2016-09,100,46
80018,5084,['0'],ATL,413,CHI,2016-09,10,46
78959,5066,['0'],DFW,351,CHI,2016-09,59,46
75551,4597,['0'],WAS,117,CHI,2016-09,224,46
75363,3934,['0'],BOS,342,CHI,2016-09,33,46
73573,4144,['0'],SFO,329,CHI,2016-09,193,46
70693,4185,['0'],ORL,501,CHI,2016-09,145,46
69895,4561,['0'],DEN,378,CHI,2016-09,58,46
68610,3754,['0'],LAS,409,CHI,2016-09,99,46
66609,3512,['0'],MSP,441,CHI,2016-09,128,46
62921,4107,['0'],PHX,297,CHI,2016-09,157,46
58062,3836,['0'],PHL,194,CHI,2016-09,156,46
50513,2731,['0'],HOU,231,CHI,2016-09,90,46
42098,2540,['0'],SEA,308,CHI,2016-09,191,46
37774,2415,['0'],BWI,329,CHI,2016-09,40,46
35803,1860,['0'],TPA,222,CHI,2016-09,216,46
31439,1690,['0'],SAN,273,CHI,2016-09,183,46
30405,1911,['0'],MIA,226,CHI,2016-09,118,46
29843,1670,['0'],DTT,216,CHI,2016-09,63,46
28780,1487,['0'],MKC,98,CHI,2016-09,120,46
27519,1520,['1'],YTO,172,CHI,2016-09,228,46
26785,1505,['0'],BNA,175,CHI,2016-09,29,46
26713,1389,['0'],AUS,211,CHI,2016-09,12,46
